frequency_hz,mean_power_per_hz,peak_power_per_hz,group_start_hz,group_end_hz
5254589.08081,2.43005068612e-09,1.38863413496e-08,5229881.28662,5279296.875
5304393.76831,1.92031454755e-09,1.00586608603e-08,5279685.97412,5329101.5625
5354198.45581,2.55428919006e-09,3.35832821889e-08,5329490.66162,5378906.25
5404003.14331,3.24645713367e-09,1.28777935958e-08,5379295.34912,5428710.9375
5453807.83081,2.31121503999e-09,1.00421671466e-08,5429100.03662,5478515.625
5503612.51831,2.73944230076e-09,1.56187073438e-08,5478904.72412,5528320.3125
5553417.20581,2.96650438183e-09,1.75027666185e-08,5528709.41162,5578125
5603221.89331,2.62320335654e-09,1.73562897186e-08,5578514.09912,5627929.6875
5653026.58081,2.08289973813e-09,1.2162347305e-08,5628318.78662,5677734.375
5702831.26831,2.13073033811e-09,1.35845844208e-08,5678123.47412,5727539.0625
5752635.95581,2.45466909544e-09,1.29392835832e-08,5727928.16162,5777343.75
5802440.64331,2.69701020512e-09,1.2921244458e-08,5777732.84912,5827148.4375
5852245.33081,2.67836513844e-09,1.44267594335e-08,5827537.53662,5876953.125
5902050.01831,2.26390099346e-09,1.49662682308e-08,5877342.22412,5926757.8125
5951854.70581,3.05805402721e-09,1.7682638786e-08,5927146.91162,5976562.5
6001659.39331,3.47920816639e-09,3.68022796944e-08,5976951.59912,6026367.1875
6051464.08081,2.87486507211e-09,4.16950482155e-08,6026756.28662,6076171.875
6101268.76831,2.33980969762e-09,1.20014739881e-08,6076560.97412,6125976.5625
6151073.45581,2.49737633908e-09,2.48744739758e-08,6126365.66162,6175781.25
6200878.14331,2.77830829222e-09,3.53523426754e-08,6176170.34912,6225585.9375
6250682.83081,2.92165823474e-09,1.54713314364e-08,6225975.03662,6275390.625
6300487.51831,2.09303732171e-09,1.19073230185e-08,6275779.72412,6325195.3125
6350292.20581,2.77690609164e-09,1.57919596982e-08,6325584.41162,6375000
6400096.89331,3.86951024364e-09,2.00119038532e-08,6375389.09912,6424804.6875
6449901.58081,3.057444305e-09,1.85129490073e-08,6425193.78662,6474609.375
6499706.26831,2.6783276779e-09,1.55035052034e-08,6474998.47412,6524414.0625
6549510.95581,2.56007865005e-09,2.29789395366e-08,6524803.16162,6574218.75
6599315.64331,3.27098195365e-09,2.39061380103e-08,6574607.84912,6624023.4375
6649120.33081,2.44940415786e-09,9.31963094835e-09,6624412.53662,6673828.125
6698925.01831,2.60296250787e-09,1.24976528472e-08,6674217.22412,6723632.8125
6748729.70581,2.84260116857e-09,2.30679639363e-08,6724021.91162,6773437.5
6798534.39331,3.23566358692e-09,3.71329800461e-08,6773826.59912,6823242.1875
6848339.08081,2.28119021135e-09,1.13153273707e-08,6823631.28662,6873046.875
6898143.76831,2.55342041808e-09,1.22450592676e-08,6873435.97412,6922851.5625
6947948.45581,2.62133938137e-09,2.46443929455e-08,6923240.66162,6972656.25
6997753.14331,2.35020863584e-09,2.72231020133e-08,6973045.34912,7022460.9375
7047557.83081,2.01058464516e-09,9.71262992685e-09,7022850.03662,7072265.625
7097362.51831,2.56946414733e-09,1.29748195186e-08,7072654.72412,7122070.3125
7147167.20581,2.72060370333e-09,3.20028481318e-08,7122459.41162,7171875
7196971.89331,3.12947731665e-09,2.77877099875e-08,7172264.09912,7221679.6875
7246776.58081,1.77962970443e-09,7.72793139807e-09,7222068.78662,7271484.375
7296581.26831,1.58951568862e-09,9.90928979611e-09,7271873.47412,7321289.0625
7346385.95581,3.18069039702e-09,2.60637938176e-08,7321678.16162,7371093.75
7396190.64331,3.21130643445e-09,3.93759004311e-08,7371482.84912,7420898.4375
7445995.33081,1.68593617604e-09,8.17111774571e-09,7421287.53662,7470703.125
7495800.01831,1.77843906483e-09,1.08214756778e-08,7471092.22412,7520507.8125
7545604.70581,2.44379640985e-09,3.53081839725e-08,7520896.91162,7570312.5
7595409.39331,2.84386084739e-09,2.40876453279e-08,7570701.59912,7620117.1875
7645214.08081,1.90985807144e-09,7.25354113806e-09,7620506.28662,7669921.875
7695018.76831,2.37957152788e-09,1.08784924284e-08,7670310.97412,7719726.5625
7744823.45581,3.61785844146e-09,4.81127350831e-08,7720115.66162,7769531.25
7794628.14331,2.32547910957e-09,2.98266435402e-08,7769920.34912,7819335.9375
7844432.83081,1.73334578157e-09,6.89835932992e-09,7819725.03662,7869140.625
