physical,role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,signed_on_minus_off_linear_per_hz,positive_on_minus_off_dbfs_per_hz,in_mandatory_222p5_223p0_baseline
139,baseline_center,222929980.468750,-99.2754217741,-110.457124452,1.09155622143e-10,-99.6195389071,1
139,baseline_center,222930078.125000,-98.9651018669,-110.337210689,1.17655315048e-10,-99.2938844891,1
139,baseline_center,222930175.781250,-99.4073320561,-110.00134028,1.04624772177e-10,-99.8036547469,1
139,baseline_center,222930273.437500,-99.2353647299,-110.135304799,1.09558158802e-10,-99.6035527496,1
139,baseline_center,222930371.093750,-98.7555088803,-110.420371788,1.24105669545e-10,-99.0620837808,1
139,baseline_center,222930468.750000,-99.1335048275,-109.984078453,1.12044676561e-10,-99.5060877273,1
139,baseline_center,222930566.406250,-99.70223988,-110.218810478,9.75880290326e-11,-100.106034533,1
139,baseline_center,222930664.062500,-99.0463225111,-110.227691645,1.15067660966e-10,-99.3904671492,1
139,baseline_center,222930761.718750,-98.5823178113,-109.945967982,1.28476401587e-10,-98.9117663577,1
139,baseline_center,222930859.375000,-99.257710078,-110.243245516,1.09184110857e-10,-99.6184055824,1
139,baseline_center,222930957.031250,-99.2694522531,-110.479723957,1.09364860656e-10,-99.6112219605,1
139,baseline_center,222931054.687500,-99.4126365738,-110.108359886,1.04728192775e-10,-99.7993639073,1
139,baseline_center,222931152.343750,-98.8621502816,-110.173923287,1.2034515987e-10,-99.1957137181,1
139,baseline_center,222931250.000000,-98.9654056694,-110.301927745,1.1757095897e-10,-99.2969993946,1
139,baseline_center,222931347.656250,-98.9401420279,-110.083765667,1.17830735984e-10,-99.2874140966,1
139,baseline_center,222931445.312500,-98.8950524983,-110.122336125,1.19249555632e-10,-99.2354323063,1
139,baseline_center,222931542.968750,-99.3520336006,-110.078038247,1.06268573751e-10,-99.7359514813,1
139,baseline_center,222931640.625000,-99.1614309626,-110.142503159,1.11621712251e-10,-99.5225131979,1
139,baseline_center,222931738.281250,-99.3427172421,-109.869175623,1.06033972802e-10,-99.7455496646,1
139,baseline_center,222931835.937500,-99.0536797152,-109.972129737,1.14281679882e-10,-99.4202338434,1
139,baseline_center,222931933.593750,-99.1062421107,-110.19207154,1.13282801592e-10,-99.45836019,1
139,baseline_center,222932031.250000,-99.2963059738,-110.285964338,1.08226979561e-10,-99.6566446184,1
139,baseline_center,222932128.906250,-98.9837981422,-110.125003349,1.1664680298e-10,-99.3312715972,1
139,baseline_center,222932226.562500,-98.9390699077,-110.145171829,1.17999965621e-10,-99.2811811922,1
139,baseline_center,222932324.218750,-99.1210540993,-109.886256375,1.12166536012e-10,-99.5013669204,1
139,baseline_center,222932421.875000,-98.4659800597,-109.959366384,1.32270592614e-10,-98.7853670067,1
139,baseline_center,222932519.531250,-98.5749969338,-109.883605345,1.28563796685e-10,-98.9088131068,1
139,baseline_center,222932617.187500,-98.6066313618,-109.930069764,1.27665488948e-10,-98.9392648711,1
139,baseline_center,222932714.843750,-99.0657301111,-109.843762496,1.13635214875e-10,-99.444870625,1
139,baseline_center,222932812.500000,-99.1129174213,-109.716571603,1.1198711178e-10,-99.5083195595,1
139,baseline_center,222932910.156250,-98.9356049456,-110.094837172,1.17989125335e-10,-99.2815801832,1
139,baseline_center,222933007.812500,-98.4609766472,-110.195072166,1.32967935633e-10,-98.7625307374,1
139,baseline_center,222933105.468750,-98.4346241917,-110.039075639,1.33485750999e-10,-98.745650908,1
139,baseline_center,222933203.125000,-98.3066643589,-109.952221584,1.37573418698e-10,-98.6146547037,1
139,baseline_center,222933300.781250,-99.0760856228,-110.220986308,1.14202302508e-10,-99.4232513991,1
139,baseline_center,222933398.437500,-99.3215995613,-109.753396932,1.06322617596e-10,-99.7337433987,1
139,baseline_center,222933496.093750,-99.4400193265,-109.810018961,1.03315065748e-10,-99.8583634359,1
139,baseline_center,222933593.750000,-99.1280153444,-109.884816178,1.11967044097e-10,-99.5090978691,1
139,baseline_center,222933691.406250,-98.6902419474,-110.082618616,1.25388162393e-10,-99.0174346231,1
139,baseline_center,222933789.062500,-98.707014459,-110.204345674,1.25138213164e-10,-99.0261005056,1
139,baseline_center,222933886.718750,-98.8031535575,-109.961546912,1.21641050922e-10,-99.1491983641,1
139,baseline_center,222933984.375000,-98.7937980934,-110.122173481,1.22291455685e-10,-99.1260388539,1
139,baseline_center,222934082.031250,-98.2187881104,-110.352144875,1.41481594997e-10,-98.493000528,1
139,baseline_center,222934179.687500,-98.3043173388,-110.27536152,1.38378234079e-10,-98.5893221597,1
139,baseline_center,222934277.343750,-98.7847762406,-110.0888286,1.22491044328e-10,-99.1189566266,1
139,baseline_center,222934375.000000,-99.0648195275,-110.014319621,1.14060434258e-10,-99.4286497928,1
139,baseline_center,222934472.656250,-98.4152106399,-109.999399269,1.34037231419e-10,-98.7277455123,1
139,baseline_center,222934570.312500,-98.3829752082,-110.037590491,1.3519789824e-10,-98.690300598,1
139,baseline_center,222934667.968750,-98.9169116678,-110.058649798,1.18458417487e-10,-99.264340735,1
139,baseline_center,222934765.625000,-99.0247588233,-110.377472409,1.16009339706e-10,-99.3550704509,1
139,baseline_center,222934863.281250,-99.2577401489,-110.115028082,1.0889997746e-10,-99.6297221014,1
139,baseline_center,222934960.937500,-98.4288151467,-110.011768459,1.33615173265e-10,-98.7414422082,1
