capture_role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,positive_tx_on_minus_off_dbfs_per_hz
physical37_mandatory_baseline_222p5_223p0,222928100.585937500,-84.1102760986,-103.998709962,-84.155065833
physical37_mandatory_baseline_222p5_223p0,222928173.828125000,-84.7179342226,-104.109485049,-84.7681845997
physical37_mandatory_baseline_222p5_223p0,222928247.070312500,-84.7171413529,-104.389383094,-84.7642295889
physical37_mandatory_baseline_222p5_223p0,222928320.312500000,-84.3712939388,-104.149033694,-84.4172460975
physical37_mandatory_baseline_222p5_223p0,222928393.554687500,-84.2292586162,-104.17460602,-84.2734622403
physical37_mandatory_baseline_222p5_223p0,222928466.796875000,-83.9281080031,-104.117615479,-83.9698834072
physical37_mandatory_baseline_222p5_223p0,222928540.039062500,-84.5785891315,-104.185974628,-84.6263897594
physical37_mandatory_baseline_222p5_223p0,222928613.281250000,-84.3268907961,-104.154310644,-84.372317548
physical37_mandatory_baseline_222p5_223p0,222928686.523437500,-84.2156290758,-104.214111093,-84.2592924657
physical37_mandatory_baseline_222p5_223p0,222928759.765625000,-84.1419474524,-104.004198775,-84.1870094386
physical37_mandatory_baseline_222p5_223p0,222928833.007812500,-83.8943838891,-103.864596996,-83.9383338655
physical37_mandatory_baseline_222p5_223p0,222928906.250000000,-84.1424085003,-104.005668238,-84.18745997
physical37_mandatory_baseline_222p5_223p0,222928979.492187500,-84.0031963509,-103.90492826,-84.047848443
physical37_mandatory_baseline_222p5_223p0,222929052.734375000,-84.71181491,-104.091799809,-84.7622000702
